URL,Year,,Title,LGA,State,file number,filename
https://www.indigoshire.vic.gov.au/files/assets/public/council-documents/strategies-plans-and-policies/climate-emergency-strategic-action-plan.pdf,2020,,Climate Emergency Strategic Action Plan,Indigo Shire,VIC,178,Indigo-2020-climate-emergency-strategic-action-plan.pdf
https://www.indigoshire.vic.gov.au/files/assets/public/environment/indigo-climate-change-adaptation-action-plan.pdf,2017,2021,Climate change adaptation action plan (2017-2021),Indigo Shire,VIC,132,Indigo-2017-climate-adaptation-action-plan.pdf
https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/environmental-management-climate-change-climate-change-strategy/climate-change-strategy-2018-2025.pdf,2018,2025,Climate Change Strategy,Kingston City,VIC,134,Kingston-2018-climate-strategy.pdf
https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/environmental-management-climate-change-urban-cooling-strategy-2020/urban-cooling-strategy-final.pdf,2020,,Creating a Cool Kingston,Kingston City,VIC,136,Kingston-2020-urban-cooling-strategy.pdf
https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/environmental-management-climate-change-climate-and-ecological-emergency/climate-and-ecological-emergency-response-plan.pdf,2021,,"CLIMATE & ECOLOGICAL
EMERGENCY RESPONSE PLAN",Kingston City,VIC,135,Kingston-2021-climate-ecological-emergency-response-plan.pdf
https://www.knox.vic.gov.au/sites/default/files/2021-09/Knox%20Climate%20Response%20Plan%202021-2031_1.pdf,2021,2031,Climate response plan,Knox City,VIC,137,Knox-2021-climate-response-plan.pdf
https://www.latrobe.vic.gov.au/sites/default/files/140407_PLCLCEF_Consolidated_Progress_and_Achievements_elecvers-small.pdf,2014,,Positioning Latrobe City for a Low Carbon Emissions Future,Latrobe City,VIC,179,Latrobe-2014-low-carbon.pdf
https://www.loddon.vic.gov.au/files/assets/public/v/2/our-council/plans-and-strategies/environmental-sustainability-strategy-action-plan.pdf,2013,2018,ENVIRONMENTAL SUSTAINABILITY STRATEGY 2013 – 2018 ACTION PLAN,Loddon Shire Council,VIC,,Loddon-Environmental-Sustainability-Strategy-Action-Plan.pdf
https://www.mrsc.vic.gov.au/About-Council/Our-Council/Strategies-Plans/Counting-Down-to-Zero-Net-Emissions-for-Council-Operations-Plan,2022,2030,Counting down to ZERO,Macedon Ranges Shire,VIC,,MacedonRanges-Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan.pdf
https://www.manningham.vic.gov.au/about-council/strategies-and-action-plans/climate-emergency-response-plan,2023,,Climate Emergency Response Plan,Manningham City,VIC,,Manningham-2023-Climate-Emergency-Response-Plan.pdf
